Date,Open,High,Low,Close,Adj Close,Volume
6/12/17,996,999.75,982,987.710022,987.710022,11472700
6/19/17,1017,1017,989.900024,1003.73999,1003.73999,17175200
6/26/17,1008.5,1009.799988,965.25,968,968,18599500
7/3/17,972.789978,980.109985,951,978.76001,978.76001,12465100
7/10/17,985,1008.549988,983.5,1001.809998,1001.809998,15120900
7/17/17,1004.690002,1034.969971,1003.809998,1025.670044,1025.670044,16516300
7/24/17,1028.339966,1083.310059,1001,1020.039978,1020.039978,27358000
7/31/17,1019.049988,1019.049988,981.72998,987.580017,987.580017,21980800
8/7/17,990.650024,996.280029,951.380005,967.98999,967.98999,18301200
8/14/17,978.409973,991.73999,954.650024,958.469971,958.469971,15521400
8/21/17,957.570007,967.929993,941.140015,945.26001,945.26001,17103300
8/28/17,946.539978,984.5,936.330017,978.25,978.25,14243000
9/4/17,975.400024,980.590027,960.369995,965.900024,965.900024,10185200
9/11/17,974.460022,1000,974.219971,986.789978,986.789978,15716000
9/18/17,990.400024,992.789978,954.419983,955.099976,955.099976,13950600
9/25/17,949.309998,964.830017,931.75,961.349976,961.349976,16904100
10/2/17,964,995.75,950.369995,989.580017,989.580017,14648200
10/9/17,993.23999,1008.440002,980.099976,1002.940002,1002.940002,14859400
10/16/17,1008.440002,1022.309998,980.23999,982.909973,982.909973,12301600
10/23/17,986.72998,1105.579956,962.5,1100.949951,1100.949951,31434800
10/30/17,1095.01001,1122.790039,1086.869995,1111.599976,1111.599976,21282000
11/6/17,1109.150024,1135.540039,1108.77002,1125.349976,1125.349976,14564200
11/13/17,1123,1139.900024,1121.630005,1129.880005,1129.880005,14612200
11/20/17,1129.77002,1186.839966,1122.550049,1186,1186,11726600
11/27/17,1202.660034,1213.410034,1145.189941,1162.349976,1162.349976,29177200
12/4/17,1173.849976,1175.199951,1124.73999,1162,1162,18426700
12/11/17,1164.599976,1182.75,1157,1179.140015,1179.140015,15209100
12/18/17,1187.369995,1194.780029,1167.640015,1168.359985,1168.359985,11614800
12/25/17,1168.359985,1190.099976,1160.550049,1169.469971,1169.469971,8402500
1/1/18,1172,1229.140015,1170.51001,1229.140015,1229.140015,12370100
1/8/18,1236,1305.76001,1232.030029,1305.199951,1305.199951,19195500
1/15/18,1323,1339.939941,1280.880005,1294.579956,1294.579956,21047500
1/22/18,1297.170044,1402.530029,1296.660034,1402.050049,1402.050049,25727200
1/29/18,1409.180054,1498,1385.140015,1429.949951,1429.949951,38238000
2/5/18,1402.619995,1460.98999,1265.930054,1339.599976,1339.599976,52444600
2/12/18,1364.670044,1468.939941,1344.01001,1448.689941,1448.689941,28741300
2/19/18,1446.48999,1503.48999,1446.48999,1500,1500,22079800
2/26/18,1509.199951,1528.699951,1455.01001,1500.25,1500.25,27701600
3/5/18,1494.23999,1578.939941,1481,1578.890015,1578.890015,22366600
3/12/18,1592.599976,1617.540039,1567.5,1571.680054,1571.680054,25460200
3/19/18,1554.530029,1590,1495.359985,1495.560059,1495.560059,30239800
3/26/18,1530,1575.969971,1365.199951,1447.339966,1447.339966,38910700
4/2/18,1417.619995,1459.560059,1352.880005,1405.22998,1405.22998,39972900
4/9/18,1425.030029,1459.780029,1402.569946,1430.790039,1430.790039,18865100
4/16/18,1445,1568.52002,1427.47998,1527.48999,1527.48999,25215800
4/23/18,1546.689941,1638.099976,1415.02002,1572.619995,1572.619995,40401700
4/30/18,1582.5,1596,1546.02002,1580.949951,1580.949951,22092000
5/7/18,1589.339966,1615.599976,1582.51001,1602.910034,1602.910034,15588500
5/14/18,1604,1611.180054,1565.219971,1574.369995,1574.369995,14947800
5/21/18,1585,1614.119995,1566.339966,1610.150024,1610.150024,14414800
5/28/18,1600.709961,1646.72998,1600.150024,1641.540039,1641.540039,13193700
6/4/18,1648.900024,1714.5,1645.48999,1683.98999,1683.98999,20144100
6/11/18,1681.51001,1724.800049,1680.589966,1715.969971,1715.969971,15816800
6/15/18,1714,1720.869995,1708.550049,1715.969971,1715.969971,3883389
